所属模块,用例标题,前置条件,步骤,预期,关键词,优先级,用例类型,适用阶段,,类型可选值列表,阶段可选值列表
/就业管理(#6),模拟面试_查询就业管理模块学员_验证学员在管理模块中学员的学习状态为转就业,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,
/就业管理(#6),模拟面试_不输入期望薪资点击保存,,,,,,,,,,
/就业管理(#6),"模拟面试_教学管理模块对学生进行技术面试结果录入_模拟面试模块
通过技术面试结果查询学员_录入人事面试模拟结果",,,,,,,,,,
/就业管理(#6),模拟面试_人事面试中对技术面试记录验证,,,,,,,,,,
/就业管理(#6),模拟面试_人事面试中对学员个人信息验证,,,,,,,,,,
/就业管理(#6),模拟面试_多次人事面试录入并查看面试记录,,,,,,,,,,
/就业管理(#6),面试记录_验证数据导出面试记录与数据库记录数据一致,,,,,,,,,,
/就业管理(#6),面试记录_根据搜索到的数据选择性导出,,,,,,,,,,
/就业管理(#6),入职信息_验证该模块学员数量和信息与,,,,,,,,,,
/就业管理(#6),入职信息_新增企业后在企业客户管理中验证信息,,,,,,,,,,
/就业管理(#6),入职信息_数据为空时导出入职信息数据,,,,,,,,,,
/就业管理(#6),入职信息_根据查询到的入职信息进行数据导出,,,,,,,,,,
/就业管理(#6),入职信息_没有新增入职信息操作进行提交,,,,,,,,,,
/就业管理(#6),入职信息_电脑归还状态为未归还进行提交,,,,,,,,,,
/就业管理(#6),入职信息_对录入的入职信息进行修改操作,,,,,,,,,,
/就业管理(#6),企业客户_新增企业客户_必填项内容输入为空,,,,,,,,,,
/就业管理(#6),"技术面试通过学员_模拟人事面试_多次人事面试_新增实际入职企业客户
_录入入职信息_数据导出并且验证信息",,,,,,,,,,
